id,1.1,1.2,1.3,1.4,1.5,1.6,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,2.13,2.14,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,4.13,5.1,5.2
1,A,B,C,A,同济大学,A,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,4,5,5,4,4,D,C,B,"A,D,E","B,C,D","A,B,C,D",D,B,"A,B,D",D,B,A,C,希望展现真实校园生活，剧情轻松有趣，角色成长励志。,增加优质原创内容，优化广告频率并提供灵活付费与会员福利。
2,A,E,C,D,上海工程技术大学,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D,D,B,"A,D,E","A,B,D","A,B,C",D,B,"A,B,D",D,B,C,A,期待真实校园生活、法学专业元素和青春成长的故事。,提升内容创新和贴近校园生活，优化广告体验并提供灵活付费套餐。
3,B,D,B,C,上海财经大学,A,4,4,4,4,3,4,4,3,3,3,4,4,4,4,5,4,4,5,5,5,4,4,E,D,A,"A,B,E","A,C,D","A,B,C",D,C,"A,B,D",D,B,A,C,希望剧情真实贴近大学生活，角色有共鸣，情节轻松有趣,提升内容创新和制作质量，增加校园题材与互动福利，同时优化广告解锁体验，降低观看门槛。
4,B,A,C,E,上海纽约大学,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D,B,B,"A,B,E","A,C","A,B,C",D,B,"A,B,D",D,B,A,A,希望剧情贴近大学生活，角色真实有趣，情感细腻。,提供更多校园生活、学习成长的真实剧情，并优化广告时长和付费机制，提升互动与社交分享功能。
5,A,A,C,M,华东师范大学,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D,C,C,"A, D, E","A,C","A,B,C",D,B,"A,B,D",D,B,C,A,希望剧情贴近大学生活，角色真实有共鸣。,加强剧情深度、提高更新速度，并推出学生专享优惠与更多互动玩法。
6,B,E,B,F,上海师范大学,A,4,5,4,4,4,5,4,4,4,4,4,4,4,4,5,5,4,5,5,5,4,4,E,D,B,"A,D,E","A,C","A,B,C,D",D,B,"A,B,D",D,B,C,C,希望展现真实的大学生活与情感成长,提升内容原创性和精品化，优化广告频率并提供灵活付费选项
7,B,F,B,K,上海中医药大学,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D,C,B,"A,D,E","A,C","A,B,C,D",D,B,"A,B,D",D,A,A,C,期待剧情贴近校园生活，角色真实有代入感。,提升内容质量，增加校园题材；优化广告时长，提供灵活付费方式。
8,A,A,B,F,复旦大学,A,4,5,4,4,4,5,4,4,4,4,4,4,4,4,5,5,4,5,5,4,4,4,E,D,B,"A,D,E","A,B,C","A,B,C,D",D,B,"A,B,D",D,B,A,C,期待呈现真实的大学生活与青春成长。,提升内容原创性、增加校园真实题材，同时优化广告时长与付费解锁的灵活性。
9,A,C,B,F,上海外国语大学贤达经济人文学院,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,4,D,D,D,"A,D,E","A,B,C,D,E","A,B,C,D",D,B,"A,B,D",D,B,A,C,期待真实校园生活、青春成长和人际冲突的细腻呈现,增加精品内容、提升画质、降低广告频率，并提供灵活付费或会员制。
10,B,B,B,A,上海电力大学,A,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,4,5,5,5,5,4,4,E,D,B,"A,B,E","A,C,D","A,B,C",D,B,"A,B,D",D,B,A,C,期待真实校园生活，展现学生奋斗与友情。,增加校园题材，提升画质与互动，降低广告时长并提供学生优惠。
11,A,E,B,H,华东理工大学,A,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,5,4,4,4,D,B,C,"A,B,E,G","B,C,D","A,B,C,D",D,B,"A,B,D",D,A,A,C,期待真实校园生活，情感细腻，贴近大学生日常。,增加原创题材并提升画质，优化广告时长，提供学生专属优惠套餐。
12,B,G,A,C,上海师范大学,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D,B,B,"A,B,D,E","A,C","A,B,C",D,B,"A,B,D",D,B,A,A,希望剧情贴近大学生活，角色真实，既有学习压力也有青春乐趣。,增加校园真实题材，提升画质并减少广告时长，推出学生专属优惠和互动活动
13,A,E,B,A,上海交通大学,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D,D,B,"A,D,E","B,C,D","A,B,C",D,B,"A,B,D",D,A,A,A,希望剧情真实贴近大学生活，人物有共鸣，节奏紧凑且有趣。,增加校园相关内容，提升剧情深度并提供弹性付费选项，优化广告体验。
14,B,D,A,H,上海应用技术大学,A,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D,C,B,"A,C,E,F","A,C","A,B,C",D,B,"A,B,D",D,B,C,A,希望剧情真实贴近学生生活，角色鲜活有共鸣。,增加校园生活真实题材，减少广告频次，提升画质并提供灵活的付费/解锁选项。
15,B,B,B,C,华东政法大学,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D,C,B,"A,B,E","A,C","A,B,C",D,B,"A,B,D",D,B,A,A,希望剧情贴近大学生活，角色真实有共鸣。,增加校园题材内容，提升画质并缩短广告，同时推出灵活付费和学生专属优惠。
16,B,A,C,D,上海政法学院,A,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,D,C,C,"A,B,E","A,C","A,B,C",D,B,"A,B,D",D,A,A,A,希望剧情真实贴近大学生活，角色有共鸣。,增加精品内容、提升画质并减少广告时长，强化校园话题和社交互动功能。
